repository	commit	blob	path	kind	status	review_method	finding_ids	notes
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	2560a301c510e3c4b806052c13e0efa202afd3b5	e2e/debug-page.spec.ts	test	needs-followup	Full static review of assertion-free Playwright debug specifications and default-suite inclusion	TEST-012	Default Playwright discovery runs these debug probes, which contain no assertions and pass on broken target states.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	70427e94240dfd5c02b9b86b60f1878ab0ecc8d5	e2e/debug-prod.spec.ts	test	needs-followup	Full static review of assertion-free Playwright debug specifications and default-suite inclusion	TEST-012	Default Playwright discovery runs these debug probes, which contain no assertions and pass on broken target states.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	0ddd5b1f4284c63808f51cae09e2c85558e5439b	e2e/debug-schedule.spec.ts	test	needs-followup	Full static review of assertion-free Playwright debug specifications and default-suite inclusion	TEST-012	Default Playwright discovery runs these debug probes, which contain no assertions and pass on broken target states.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	a69320ab83274814de8222af6107daecf714ea7b	e2e/event-create.spec.ts	test	static-reviewed	Corpus-wide static review of test titles, assertions, skip/focus state, timer restoration, mocks, fixtures, route contracts, and failure-path coverage		Reviewed 386 remaining Jest/Playwright test, fixture, factory, mock, and setup files. Only conditional Google Maps coverage is skipped when its key is absent; fake-timer suites restore timers. Known coverage gaps remain documented separately.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	cb3280c5e771771a929d63dd7beaf12ea1a517ee	e2e/event-join.spec.ts	test	static-reviewed	Corpus-wide static review of test titles, assertions, skip/focus state, timer restoration, mocks, fixtures, route contracts, and failure-path coverage		Reviewed 386 remaining Jest/Playwright test, fixture, factory, mock, and setup files. Only conditional Google Maps coverage is skipped when its key is absent; fake-timer suites restore timers. Known coverage gaps remain documented separately.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	f4aebec4ec9113ad23dff6e53fda81131dbf10c4	e2e/event-template-parameters.spec.ts	test	static-reviewed	Corpus-wide static review of test titles, assertions, skip/focus state, timer restoration, mocks, fixtures, route contracts, and failure-path coverage		Reviewed 386 remaining Jest/Playwright test, fixture, factory, mock, and setup files. Only conditional Google Maps coverage is skipped when its key is absent; fake-timer suites restore timers. Known coverage gaps remain documented separately.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	062821e64ca13c5584e9c66d727b91101aee6613	e2e/fixtures/api.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	ebb03e76bccfdffd0b07971f323f789286d0741d	e2e/fixtures/auth.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	e8e4bc72f03228e20a85097bb5761ab0ebbc598e	e2e/fixtures/scheduler/league-no-slots.json	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	40f954a4405dba65a8f4b1caf6bd2056c873296b	e2e/fixtures/scheduler/league-same-day.json	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	9e80f57e71aaf0dc28aea82434c07ac106cd9c3c	e2e/fixtures/scheduler/tournament-6.json	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	344bf83c74a8e8af96892834351128785b75f436	e2e/fixtures/scheduler/tournament-8.json	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	8c69c9575bd8f1c2f8c9a9f71ccb835d5ba6f438	e2e/fixtures/scheduler/tournament-double-elim.json	config	static-reviewed	Static review of behavior-defining build/dev configuration, scheduler fixtures, agent layout map, and application styles		Reviewed route/build/test behavior, fixture graph shapes, development service exposure, responsive/focus styles, and agent control descriptions; no distinct new finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	96408eedd5e3dd613661640ce705099138b3d85c	e2e/fixtures/seed-data.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	3f0e21d754fea28d308d6646395ac3e11c925ef6	e2e/fixtures/test-ids.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	07803b5474f2f17fb412a6a296d64b0d2c9654c5	e2e/global-setup.ts	source	needs-followup	Static production-source review of state ownership, mutation/data flow, security boundaries, compatibility fallbacks, UI behavior, and failure handling	SEC-008	Source is direct evidence for existing audit finding(s).
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	c768ad2b3e9cd82c73e9f2bcbfd45a7da9545571	e2e/global-teardown.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	c8d76b74bfc6d1cef055479cfdbed71d5276ee53	e2e/google-maps.spec.ts	test	static-reviewed	Corpus-wide static review of test titles, assertions, skip/focus state, timer restoration, mocks, fixtures, route contracts, and failure-path coverage		Reviewed 386 remaining Jest/Playwright test, fixture, factory, mock, and setup files. Only conditional Google Maps coverage is skipped when its key is absent; fake-timer suites restore timers. Known coverage gaps remain documented separately.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	0288533ad624fc44e148642cb59631639e8eb62a	e2e/league-playoff-mobile.spec.ts	test	static-reviewed	Corpus-wide static review of test titles, assertions, skip/focus state, timer restoration, mocks, fixtures, route contracts, and failure-path coverage		Reviewed 386 remaining Jest/Playwright test, fixture, factory, mock, and setup files. Only conditional Google Maps coverage is skipped when its key is absent; fake-timer suites restore timers. Known coverage gaps remain documented separately.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	cdd38710837aee3478dbdc4634f7e6934d01c250	e2e/rental-create.spec.ts	test	static-reviewed	Corpus-wide static review of test titles, assertions, skip/focus state, timer restoration, mocks, fixtures, route contracts, and failure-path coverage		Reviewed 386 remaining Jest/Playwright test, fixture, factory, mock, and setup files. Only conditional Google Maps coverage is skipped when its key is absent; fake-timer suites restore timers. Known coverage gaps remain documented separately.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	7b7bdfa25b36cbaa9b7640696d3478a6b0d0930f	e2e/rental-purchase.spec.ts	test	static-reviewed	Corpus-wide static review of test titles, assertions, skip/focus state, timer restoration, mocks, fixtures, route contracts, and failure-path coverage		Reviewed 386 remaining Jest/Playwright test, fixture, factory, mock, and setup files. Only conditional Google Maps coverage is skipped when its key is absent; fake-timer suites restore timers. Known coverage gaps remain documented separately.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	01b50f08a85904dd94b309b34d45a3a19f04e3b9	e2e/scheduler.spec.ts	test	static-reviewed	Corpus-wide static review of test titles, assertions, skip/focus state, timer restoration, mocks, fixtures, route contracts, and failure-path coverage		Reviewed 386 remaining Jest/Playwright test, fixture, factory, mock, and setup files. Only conditional Google Maps coverage is skipped when its key is absent; fake-timer suites restore timers. Known coverage gaps remain documented separately.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	5f04cb5acc8f182ef3266fbf426d037da69ce48f	e2e/scripts/generate-scheduler-fixtures.ts	script	static-reviewed	Static review of operational/e2e script imports, argument guards, mutation queries, credential handling, process control, and recurring affiliate setup shapes		Reviewed remaining script entry points and mutation boundaries; no additional distinct finding beyond linked corpus findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	3b5f3406961d24f95139e6bac3bc0a60db2e82e3	e2e/utils/event.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	66141f82c993a4a3820635e2b1a3397fe71db9a6	e2e/utils/rental.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	6f8acce80075ce3ce910eab5bd6d27a985002cf0	e2e/utils/scheduler.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	7afef3ced5601616b2e53db608aff696020c8816	eslint.config.mjs	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	53003b3fac48168276ae9db1982172dacd10a4c7	instrumentation-client.ts	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	32ff83ba29bdf4bc5f6f6712faaa80ffa52e35a5	jest.config.ts	source	needs-followup	Targeted static security/data/tooling review	SEC-028,SEC-030,SEC-031,SEC-032,SEC-033,SEC-034,OPS-002,OPS-003,DATA-013,TEST-001	Confirmed targeted finding; exhaustive whole-file/context review remains incomplete.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	c8524c359740ffa3a1a0ebe7f2f2d0935218d05a	mdx-components.tsx	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	b7d533bd1a5df37c95676f73ab229b0df5e97057	next.config.mjs	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	7b3a1c63a430a6aba0a605823c773a2c4680f91e	package.json	config	needs-followup	Targeted static security/data/tooling review	SEC-028,SEC-030,SEC-031,SEC-032,SEC-033,SEC-034,OPS-002,OPS-003,DATA-013,TEST-001	Confirmed targeted finding; exhaustive whole-file/context review remains incomplete.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	bebb384cdddd613bdadafd34d42ea11b1375256c	playwright.config.ts	source	needs-followup	Static production-source review of state ownership, mutation/data flow, security boundaries, compatibility fallbacks, UI behavior, and failure handling	TEST-012	Source is direct evidence for existing audit finding(s).
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	d03d6fc022cafe631c685029ebee1aa6fbc54fb4	postcss.config.mjs	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	e971e486bd3356508ca6f3625715447c5dea2278	prettier.config.js	source	static-reviewed	Static production-source review of exports/call sites, state ownership, async races, mutation/data flow, security boundaries, compatibility fallbacks, accessibility patterns, and failure handling		Reviewed through directory/file inventories and corpus-wide auth, query, external-fetch, code-execution, weak-ID, secret-log, React-effect, legacy/fallback, and direct-mutation scans; no additional distinct finding.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	4d14deed0e1204bc6f06e8ece5b02566eac7e1f1	prisma.config.ts	source	needs-followup	Targeted static security/data/tooling review	SEC-028,SEC-030,SEC-031,SEC-032,SEC-033,SEC-034,OPS-002,OPS-003,DATA-013,TEST-001	Confirmed targeted finding; exhaustive whole-file/context review remains incomplete.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	7877839cba1b679a6dac2952e26419cc227c145f	prisma/migrations/20260204062343_init_appwrite_schema/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	bad54ec65844fd89ad71f92fbcb1eaf56e0dfdc7	prisma/migrations/20260208181739_add_event_template_state/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	4c9350b3b8d1b9aa519a7f59085f88f8a466dc4d	prisma/migrations/20260212192500_add_push_device_targets/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	b5f380f13b42d12f24a2ea51a0cafa6638620eac	prisma/migrations/20260213190000_add_required_templates_to_time_slots/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	0c00f900107b78999f02737bfc3a16b60583ae5c	prisma/migrations/20260214153000_template_required_signer_type/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	40a78e35bead7418d8ce7144eae6548b9bb1db63	prisma/migrations/20260215190000_division_field_ownership/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	bb64e4f46031550da36ad57648c7dcfc784dc912	prisma/migrations/20260215203000_timeslot_divisions/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	6d5ee35c3ce7fe932a38993c6662cc77531e057e	prisma/migrations/20260216103000_division_registration_mode/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	9e2dd7c944e072f8d7645df2dc388c0f80d890f6	prisma/migrations/20260216143000_drop_field_type_columns/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	0e1a4b338014b57a212bbde9d11536724f704004	prisma/migrations/20260216152000_team_parent_roles/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	9c98d3df595eb7a800e85e32a975fbaa4f40ce68	prisma/migrations/20260216170500_seed_default_sports_variants/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	52d985d8ddc49598c47247a8300ad569fa6a50d4	prisma/migrations/20260218190000_add_org_hosts_event_assistant_hosts/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	7d6756fed8c28c04271fc8aeba8ae82c0f45f9b3	prisma/migrations/20260218201500_add_no_fixed_end_datetime/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	a2fcdfb92e0aebb63f28a0876012e5770fb8e180	prisma/migrations/20260220123000_add_organization_sports/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	ad7af7c1fdeba4e83dd0cbaf21b484f63b7275f6	prisma/migrations/20260220170000_team_head_coach_role/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	aecbe87ae04033c83631c9743fc3165d6b3c1741	prisma/migrations/20260221070129_add_match_locked_flag/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	35a4a30c072fc12e8631a2aabd976aca360d23ca	prisma/migrations/20260221143000_user_name_case_insensitive_unique/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	d2b5379d2c66571872d9e20c8933fd433b35f360	prisma/migrations/20260221211011_division_price_capacity/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
mvp-site	68ad8d47fdd6c3644b92de0523b4db74eb22b326	f2369fd7cf84d80ba104add398ad5a40d32d97ce	prisma/migrations/20260221221500_remove_generic_soccer_volleyball/migration.sql	migration	runtime-verified	Full ordered SQL statement review plus successful clean isolated PostgreSQL replay of all 142 migrations	DATA-005,DATA-006,DATA-010,DATA-011,DATA-026	Reviewed schema creation, destructive drops, enum rewrites, backfills, normalized cutovers, indexes, and seed migrations; full chain applied successfully. Existing schema/release/source-of-truth defects remain tracked under linked findings.
